0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1
1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
2 2 2 1 1 1 1 2 1 1 1 1 1 2 2 2
1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1
1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1
1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1
1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1
0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1

[CHECKPOINTS]
0,7 
1,7
2,7
2,8
2,9
2,10
2,11
2,12
3,12
4,12
5,12
6,12
7,12
7,11
7,10
7,9
7,8
7,7
7,6
7,5
7,4
7,3
8,3
9,3
10,3
11,3
12,3
13,3
13,4
13,5
13,6
13,7
14,7
15,7


//enemy path is 2
//tower grass is 0 
//1 can be used by towers
